,SPUR_MANUAL_UNL,SPUR_ROBOT_VIS,CMC_INBOUND,STG_W3,AISLE_LOC_STD,STG_V3,BAA_REPACK,STG_X3,LOC_DOCK_XEXL,STA_OP020,AISLE_H5_MKT,SPUR_DEC_1,SPUR_BUF_N1,AISLE_LOC_K2K3,AISLE_OP95_MKT,SPUR_ROBOT_UNL,STA_OP430,LOC_DOCK_126,BAA_EMPTIES,STG_E3,LOC_DOCK_BAAE,SPUR_LOAD,STG_Y3,SPUR_BUF_S1,BYAN_QC,BAA_MKT,STG_E4
SPUR_MANUAL_UNL,0.0,7.78,159.88,109.63,39.17,95.31,115.42,104.57,249.54,79.84,73.77,8.63,16.14,111.4,94.89,3.73,4.2,33.26,57.03,150.12,63.97,12.14,119.39,12.49,209.33,118.02,177.92
SPUR_ROBOT_VIS,7.78,0.0,167.66,117.41,46.94,103.09,123.2,112.35,257.32,72.07,81.54,16.4,23.91,103.62,102.67,4.05,11.97,25.48,49.25,157.9,56.19,19.91,127.17,4.71,217.11,125.8,185.7
CMC_INBOUND,159.88,167.66,0.0,191.18,120.72,176.86,44.46,186.12,113.78,239.73,155.32,151.26,143.75,203.95,64.99,163.61,155.69,193.14,216.91,69.96,223.85,147.75,200.94,172.37,73.57,199.57,42.16
STG_W3,109.63,117.41,191.18,0.0,70.47,126.61,146.72,135.87,280.84,189.48,35.86,101.0,93.49,153.7,126.19,113.36,105.44,142.89,166.66,181.42,173.6,97.49,9.76,122.12,240.63,8.39,209.22
AISLE_LOC_STD,39.17,46.94,120.72,70.47,0.0,56.14,76.26,65.4,210.37,119.01,34.6,30.54,23.03,83.23,55.72,42.89,34.97,72.43,96.2,110.95,103.14,27.03,80.23,51.65,170.16,78.86,138.75
STG_V3,95.31,103.09,176.86,126.61,56.14,0.0,132.4,9.26,266.52,175.15,90.74,86.68,79.17,27.09,111.87,99.04,91.11,105.23,81.46,167.1,74.52,83.17,136.37,107.8,226.31,135.0,194.9
BAA_REPACK,115.42,123.2,44.46,146.72,76.26,132.4,0.0,141.66,134.12,195.27,110.86,106.79,99.28,159.49,20.53,119.15,111.23,148.68,172.45,34.7,179.39,103.28,156.48,127.91,93.91,155.11,62.5
STG_X3,104.57,112.35,186.12,135.87,65.4,9.26,141.66,0.0,275.78,184.1,100.0,95.94,88.43,17.83,121.13,108.3,100.38,95.97,72.2,176.36,65.26,92.43,145.63,116.74,235.57,144.26,204.16
LOC_DOCK_XEXL,249.54,257.32,113.78,280.84,210.37,266.52,134.12,275.78,0.0,329.38,244.97,240.91,233.4,293.61,154.65,253.27,245.34,282.8,306.57,99.42,313.51,237.4,290.6,262.03,40.21,289.23,71.62
STA_OP020,79.84,72.07,239.73,189.48,119.01,175.15,195.27,184.1,329.38,0.0,153.61,88.47,95.98,166.27,174.74,76.12,84.04,88.13,111.9,229.96,118.84,91.98,199.24,67.36,289.17,197.87,257.76
AISLE_H5_MKT,73.77,81.54,155.32,35.86,34.6,90.74,110.86,100.0,244.97,153.61,0.0,65.14,57.63,117.83,90.33,77.49,69.57,107.03,130.8,145.55,137.74,61.63,45.62,86.25,204.76,44.25,173.35
SPUR_DEC_1,8.63,16.4,151.26,101.0,30.54,86.68,106.79,95.94,240.91,88.47,65.14,0.0,7.51,113.77,86.26,12.35,4.43,41.89,65.66,141.49,72.6,3.51,110.76,21.11,200.7,109.39,169.29
SPUR_BUF_N1,16.14,23.91,143.75,93.49,23.03,79.17,99.28,88.43,233.4,95.98,57.63,7.51,0.0,106.26,78.75,19.86,11.94,49.4,73.17,133.98,80.11,4.0,103.25,28.62,193.19,101.88,161.78
AISLE_LOC_K2K3,111.4,103.62,203.95,153.7,83.23,27.09,159.49,17.83,293.61,166.27,117.83,113.77,106.26,0.0,138.96,107.67,115.59,78.14,54.37,194.18,47.43,110.26,163.46,98.91,253.39,162.09,221.98
AISLE_OP95_MKT,94.89,102.67,64.99,126.19,55.72,111.87,20.53,121.13,154.65,174.74,90.33,86.26,78.75,138.96,0.0,98.62,90.7,128.15,151.92,55.23,158.86,82.75,135.95,107.38,114.44,134.58,83.03
SPUR_ROBOT_UNL,3.73,4.05,163.61,113.36,42.89,99.04,119.15,108.3,253.27,76.12,77.49,12.35,19.86,107.67,98.62,0.0,7.92,29.53,53.3,153.84,60.24,15.86,123.12,8.76,213.05,121.75,181.64
STA_OP430,4.2,11.97,155.69,105.44,34.97,91.11,111.23,100.38,245.34,84.04,69.57,4.43,11.94,115.59,90.7,7.92,0.0,37.45,61.22,145.92,68.16,7.94,115.2,16.68,205.13,113.83,173.72
LOC_DOCK_126,33.26,25.48,193.14,142.89,72.43,105.23,148.68,95.97,282.8,88.13,107.03,41.89,49.4,78.14,128.15,29.53,37.45,0.0,23.77,183.38,30.71,45.4,152.65,20.77,242.59,151.28,211.18
BAA_EMPTIES,57.03,49.25,216.91,166.66,96.2,81.46,172.45,72.2,306.57,111.9,130.8,65.66,73.17,54.37,151.92,53.3,61.22,23.77,0.0,207.15,6.94,69.17,176.42,44.54,266.36,175.05,234.95
STG_E3,150.12,157.9,69.96,181.42,110.95,167.1,34.7,176.36,99.42,229.96,145.55,141.49,133.98,194.18,55.23,153.84,145.92,183.38,207.15,0.0,214.09,137.98,191.18,162.61,59.21,189.81,27.8
LOC_DOCK_BAAE,63.97,56.19,223.85,173.6,103.14,74.52,179.39,65.26,313.51,118.84,137.74,72.6,80.11,47.43,158.86,60.24,68.16,30.71,6.94,214.09,0.0,76.11,183.36,51.48,273.3,181.99,241.89
SPUR_LOAD,12.14,19.91,147.75,97.49,27.03,83.17,103.28,92.43,237.4,91.98,61.63,3.51,4.0,110.26,82.75,15.86,7.94,45.4,69.17,137.98,76.11,0.0,107.25,24.62,197.19,105.88,165.78
STG_Y3,119.39,127.17,200.94,9.76,80.23,136.37,156.48,145.63,290.6,199.24,45.62,110.76,103.25,163.46,135.95,123.12,115.2,152.65,176.42,191.18,183.36,107.25,0.0,131.88,250.39,8.78,218.98
SPUR_BUF_S1,12.49,4.71,172.37,122.12,51.65,107.8,127.91,116.74,262.03,67.36,86.25,21.11,28.62,98.91,107.38,8.76,16.68,20.77,44.54,162.61,51.48,24.62,131.88,0.0,221.82,130.51,190.41
BYAN_QC,209.33,217.11,73.57,240.63,170.16,226.31,93.91,235.57,40.21,289.17,204.76,200.7,193.19,253.39,114.44,213.05,205.13,242.59,266.36,59.21,273.3,197.19,250.39,221.82,0.0,249.02,31.41
BAA_MKT,118.02,125.8,199.57,8.39,78.86,135.0,155.11,144.26,289.23,197.87,44.25,109.39,101.88,162.09,134.58,121.75,113.83,151.28,175.05,189.81,181.99,105.88,8.78,130.51,249.02,0.0,217.61
STG_E4,177.92,185.7,42.16,209.22,138.75,194.9,62.5,204.16,71.62,257.76,173.35,169.29,161.78,221.98,83.03,181.64,173.72,211.18,234.95,27.8,241.89,165.78,218.98,190.41,31.41,217.61,0.0
