,LOC_DOCK_126,STA_OP250,SPUR_MANUAL_UNL,CMC_INBOUND,SPUR_BUF_S1,STA_OP290,AISLE_LOC_K2K3,STA_OP130,STA_OP280,SPUR_DEC_1,STA_OP100,STA_OP170,STA_OP410,STA_OP180,STG_U3,BAA_REPACK,LOC_DOCK_BAAE,STG_V3,STA_OP160,STA_OP095,STG_E4,AISLE_LOC_STD,STG_Y3,STA_OP090,SPUR_ROBOT_UNL,BAA_EMPTIES,STA_OP270,SPUR_ROBOT_VIS,AISLE_H5_MKT,LOC_DOCK_127,STG_X3,STA_OP120,BYAN_QC,STA_OP080,STA_OP050,STA_OP190,STG_W3,LOC_DOCK_XEXL,STA_OP210,SPUR_BUF_N1,STG_E3,AISLE_OP95_MKT,STA_OP265,STA_OP430,STA_OP020,STA_OP135,STA_OP140,STA_OP300,BAA_MKT,SPUR_LOAD
LOC_DOCK_126,0.0,43.81,33.02,158.04,20.77,29.92,78.14,75.22,32.97,35.26,79.7,62.98,23.93,58.91,124.27,136.24,30.71,102.54,66.16,81.71,195.78,65.8,120.23,84.21,29.29,23.77,37.52,25.48,93.78,7.93,95.97,76.91,213.29,86.71,88.45,51.21,130.9,173.08,46.71,42.77,170.93,115.71,40.66,33.89,92.14,73.54,72.03,28.11,129.01,38.77
STA_OP250,43.81,0.0,21.32,168.03,23.03,13.89,121.95,31.41,10.84,25.1,35.89,19.17,19.87,15.1,114.1,92.43,74.52,146.35,22.35,37.9,151.98,55.64,130.46,40.4,22.98,67.58,6.29,18.93,83.61,38.26,139.78,33.1,182.57,42.9,44.64,7.4,120.73,183.41,2.9,32.61,127.13,71.9,3.15,25.51,48.33,29.73,28.22,15.7,126.84,28.61
SPUR_MANUAL_UNL,33.02,21.32,0.0,186.17,12.25,7.43,111.16,52.73,10.48,3.78,57.21,40.49,9.09,36.42,92.78,110.57,63.73,135.56,43.67,59.22,170.12,34.32,109.14,61.72,3.73,56.79,15.03,7.78,62.3,27.47,128.99,54.42,201.53,64.22,65.96,28.72,99.41,201.56,24.22,11.29,145.27,90.04,18.17,4.2,69.65,51.05,49.54,5.62,105.52,7.29
CMC_INBOUND,158.04,168.03,186.17,0.0,178.81,181.92,166.98,136.61,178.87,182.39,132.14,148.86,181.97,152.93,109.18,75.6,141.21,148.51,145.68,130.13,68.7,151.85,105.22,132.63,187.33,134.27,174.32,183.52,139.67,165.97,149.16,134.93,100.11,135.13,136.87,160.63,104.83,100.14,165.13,174.88,40.9,96.13,171.17,185.75,140.56,138.3,139.81,183.73,96.44,178.88
SPUR_BUF_S1,20.77,23.03,12.25,178.81,0.0,9.14,98.91,54.45,12.19,14.49,58.92,42.2,3.16,38.13,103.49,115.47,51.48,123.31,45.38,60.93,175.01,45.03,119.85,63.43,8.52,44.54,16.74,4.71,73.01,15.22,116.74,56.13,205.6,65.93,67.67,30.43,110.12,193.85,25.93,22.0,150.16,94.93,19.89,13.11,71.36,52.76,51.25,7.33,116.23,18.0
STA_OP290,29.92,13.89,7.43,181.92,9.14,0.0,108.06,45.31,3.05,11.21,49.78,33.06,5.98,28.99,100.21,106.32,60.63,132.46,36.24,51.79,165.87,41.75,116.57,54.29,9.09,53.69,7.6,5.04,69.72,24.37,125.89,46.99,196.46,56.79,58.53,21.29,106.84,197.3,16.79,18.72,141.02,85.79,10.75,11.62,62.22,43.62,42.11,1.81,112.95,14.72
AISLE_LOC_K2K3,78.14,121.95,111.16,166.98,98.91,108.06,0.0,153.36,111.11,113.4,157.84,141.12,102.07,137.05,68.23,152.19,47.43,24.4,144.3,159.85,190.72,133.32,79.32,162.35,107.44,54.37,115.66,103.62,98.72,86.07,17.83,155.05,222.13,164.85,166.59,129.35,62.15,222.16,124.85,120.91,162.92,131.66,118.8,112.03,170.28,151.68,150.17,106.25,70.54,116.91
STA_OP130,75.22,31.41,52.73,136.61,54.45,45.31,153.36,0.0,42.26,56.51,4.48,12.25,51.29,16.31,145.52,61.02,105.93,177.76,9.06,6.49,120.56,87.05,161.87,8.99,54.39,98.99,37.7,50.34,115.03,69.67,171.19,1.69,151.15,11.49,13.23,24.01,152.15,152.0,28.51,64.02,95.71,40.49,34.56,56.93,16.91,1.69,3.19,47.12,158.25,60.02
STA_OP280,32.97,10.84,10.48,178.87,12.19,3.05,111.11,42.26,0.0,14.26,46.73,30.01,9.03,25.94,103.26,103.27,63.68,135.51,33.19,48.74,162.82,44.8,119.62,51.24,12.14,56.74,4.55,8.09,72.77,27.42,128.94,43.94,193.41,53.74,55.48,18.24,109.89,194.25,13.74,21.77,137.97,82.74,7.69,14.67,59.17,40.57,39.06,4.86,116.0,17.77
SPUR_DEC_1,35.26,25.1,3.78,182.39,14.49,11.21,113.4,56.51,14.26,0.0,60.99,44.27,12.87,40.2,89.0,106.79,65.97,132.84,47.45,63.0,166.34,30.54,105.36,65.5,7.51,59.03,18.81,11.56,58.52,29.71,131.23,58.2,197.75,68.0,69.74,32.5,95.63,197.78,28.0,7.51,141.49,86.26,21.95,4.43,73.43,54.83,53.32,9.4,101.74,3.51
